teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS
NonDivI-HastingsCollege,2,23.0,31.0,59.0,63.5,39.15,48.2,17.0,15.0,39.0,28.5,44.05,54.4,6.0,16.0,20.0,35.0,29.3,38.45,44.3,59.8,6.0,9.5,20.0,31.0,36.65,35.7,5.5,7.5,25.5,31.0,8.0,19.0,4.5,10.0,0.5,1.0,16.0,9.5,12.0,11.5,58.0,87.5
NonDivI-HaskellIndianNations,1,15.0,30.0,54.0,74.0,27.8,40.5,8.0,19.0,22.0,42.0,36.4,45.2,7.0,11.0,32.0,32.0,21.9,34.4,34.3,48.0,9.0,18.0,10.0,27.0,90.0,66.7,7.0,29.0,19.0,33.0,6.0,14.0,12.0,13.0,1.0,4.0,24.0,17.0,24.0,10.0,46.0,89.0
NonDivI-RogersState,1,11.0,34.0,53.0,65.0,20.8,52.3,9.0,21.0,35.0,37.0,25.7,56.8,2.0,13.0,18.0,28.0,11.1,46.4,22.6,62.3,7.0,10.0,12.0,10.0,58.3,100.0,9.0,13.0,18.0,37.0,1.0,13.0,8.0,6.0,1.0,6.0,19.0,12.0,15.0,14.0,31.0,91.0
NonDivI-StanislausSt.,2,16.0,24.0,63.5,52.5,25.25,45.7,10.5,16.5,42.5,30.5,24.95,54.0,5.5,7.5,21.0,22.0,25.7,34.1,29.55,52.85,5.0,15.0,47.5,21.0,32.9,72.25,10.5,10.5,21.0,35.5,10.5,12.0,11.0,8.5,2.0,5.5,13.5,16.5,18.5,12.0,42.5,70.5
NonDivI-Westmont,1,26.0,36.0,69.0,74.0,37.7,48.6,15.0,25.0,38.0,41.0,39.5,61.0,11.0,11.0,31.0,33.0,35.5,33.3,45.7,56.1,6.0,13.0,11.0,15.0,54.5,86.7,9.0,15.0,24.0,37.0,19.0,26.0,7.0,7.0,1.0,0.0,20.0,17.0,18.0,14.0,69.0,96.0
NonDivI-Willamette,1,29.0,41.0,76.0,69.0,38.2,59.4,17.0,30.0,41.0,49.0,41.5,61.2,12.0,11.0,35.0,20.0,34.3,55.0,46.1,67.4,8.0,29.0,11.0,41.0,72.7,70.7,4.0,12.0,20.0,42.0,14.0,22.0,8.0,10.0,0.0,3.0,17.0,15.0,28.0,18.0,78.0,122.0
NonDivI-Bushnell,1,13.0,25.0,61.0,62.0,21.3,40.3,10.0,19.0,37.0,33.0,27.0,57.6,3.0,6.0,24.0,29.0,12.5,20.7,23.8,45.2,10.0,28.0,14.0,36.0,71.4,77.8,3.0,12.0,27.0,48.0,3.0,16.0,4.0,9.0,2.0,1.0,14.0,14.0,26.0,13.0,39.0,84.0
NonDivI-EvergreenState,1,15.0,37.0,65.0,69.0,23.1,53.6,14.0,28.0,45.0,41.0,31.1,68.3,1.0,9.0,20.0,28.0,5.0,32.1,23.8,60.1,13.0,17.0,17.0,24.0,76.5,70.8,14.0,19.0,18.0,38.0,3.0,26.0,9.0,10.0,0.0,5.0,18.0,16.0,20.0,16.0,44.0,100.0
NonDivI-Truett-McConnell,1,19.0,33.0,45.0,66.0,42.2,50.0,18.0,22.0,37.0,39.0,48.6,56.4,1.0,11.0,81.0,27.0,2.5,40.7,43.3,58.3,10.0,14.0,21.0,23.0,47.6,60.9,6.0,18.0,13.0,21.0,6.0,19.0,5.0,11.0,3.0,3.0,19.0,10.0,21.0,21.0,49.0,91.0
NonDivI-Rutgers-Camden,1,10.0,38.0,39.0,70.0,25.6,54.3,6.0,25.0,21.0,32.0,28.6,78.1,4.0,13.0,18.0,38.0,22.2,34.2,30.8,63.6,4.0,5.0,11.0,95.0,36.4,5.6,3.0,10.0,23.0,27.0,3.0,20.0,4.0,20.0,3.0,4.0,30.0,9.0,12.0,16.0,28.0,94.0
